# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.10.0
# schema_version: 1.0
# benchmark_id: e6e5c8946b38
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,dp_rank,worker_id,worker_type,model,phase,stage,worker,Description
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_frontend_disconnected_clients,,5.0035,5.0000,12.0000,0.1573,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,,,,,,,,Number of disconnected clients
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_frontend_lora_churn_loads_total,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,Total LoRA loads (new placements) this tick
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_frontend_lora_churn_unloads_total,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,Total LoRA unloads (removed placements) this tick
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_frontend_lora_overflow_count,count,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,MCF solver overflow count (unplaceable replicas)
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_request_plane_inflight_requests,requests,16.0459,0.0000,25.0000,6.7001,7.0000,8.0000,8.0000,9.0000,16.0000,24.0000,25.0000,25.0000,25.0000,,,,,,,,Currently in-flight requests at AddressedPushRouter
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_tokio_alive_tasks,,111.8415,71.0000,149.0000,28.3257,71.0000,76.0000,77.0000,82.0000,113.0000,145.0000,146.0000,149.0000,149.0000,,,,,,,,Number of alive tasks in the runtime
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_tokio_blocking_idle_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,Number of idle blocking threads
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_tokio_blocking_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,Number of tasks in the blocking thread pool queue
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_tokio_blocking_threads,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,Number of blocking threads
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_tokio_global_queue_depth,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,Number of tasks in the runtime global queue
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,68.1085,3.0000,1000.0000,185.8329,3.0000,5.0000,9.0000,19.0000,28.0000,42.0000,66.0000,80.0000,1000.0000,,,,,,,0,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,45.3438,3.0000,638.0000,53.5696,3.0000,10.0000,16.0000,27.0000,47.0000,47.0000,47.0000,60.0000,383.0000,,,,,,,1,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,592.0000,592.0000,592.0000,0.0000,592.0000,592.0000,592.0000,592.0000,592.0000,592.0000,592.0000,592.0000,592.0000,,,,,,,10,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
glm52-fp8-vllm-agg-tp16-frontend.qwen32-bench.svc.cluster.local:8000,gauge,dynamo_tokio_worker_busy_ratio,ratio,1000.0000,1000.0000,1000.0000,0.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,1000.0000,,,,,,,11,Worker busy ratio (0-1) as integer mill ratio; >950 = saturated
